40,7,254,6,254,39,40,40
161,106,226,107,226,128,160,126
61,107,137,105,137,125,62,127
172,130,252,129,252,149,173,150
118,177,172,179,171,197,118,195
47,61,117,60,117,77,48,78
156,83,234,82,234,102,156,104
43,82,121,84,121,103,42,101
118,204,186,203,186,217,118,218
160,152,233,154,233,175,159,174
190,61,255,59,256,77,191,79
38,129,93,130,93,149,37,149
99,153,153,154,153,173,99,173
34,154,91,154,91,172,34,173
94,130,156,130,156,150,94,150
98,62,149,60,150,77,98,79
230,156,267,155,267,173,230,174
158,62,195,60,196,76,158,78
230,82,259,82,259,103,231,103
100,85,140,83,141,103,101,106
