131,512,420,518,419,549,130,543
246,719,446,721,445,748,246,745
95,163,302,162,302,194,95,195
109,657,221,663,219,691,107,686
306,263,476,266,476,296,305,293
339,124,506,127,505,161,338,158
319,426,462,428,462,458,319,456
354,306,462,307,461,338,353,336
118,340,219,342,218,372,118,370
209,124,325,126,324,156,208,154
274,59,364,63,362,97,272,93
256,629,365,629,365,658,256,658
349,221,453,222,452,254,348,253
234,302,333,304,332,336,234,334
258,591,347,594,346,623,257,621
230,343,333,346,332,377,229,374
218,463,305,465,305,491,218,490
382,635,437,642,433,666,378,660
103,257,194,259,193,291,102,288
101,459,190,461,189,490,101,489
193,713,291,716,290,738,192,736
103,13,201,14,201,48,102,46
189,381,261,383,261,412,189,411
372,561,447,566,445,591,371,586
267,555,361,556,361,585,267,584
213,259,289,261,289,293,212,292
392,387,483,388,483,419,391,418
101,585,174,587,173,616,100,614
278,384,374,387,372,418,277,415
265,13,370,15,369,49,264,47
109,743,170,745,169,770,108,769
107,622,170,625,169,651,105,648
357,598,413,602,411,626,355,622
103,549,176,550,175,578,103,577
155,421,215,422,215,450,154,450
260,219,332,219,332,251,259,250
231,423,302,425,301,453,230,451
179,554,251,557,250,582,178,579
169,218,241,218,241,249,168,249
142,126,200,127,200,154,141,153
176,626,235,630,232,655,174,650
344,346,419,347,418,378,343,377
100,216,152,217,151,247,99,245
439,66,490,68,489,95,438,94
101,381,150,382,149,408,101,407
442,19,493,20,493,48,442,48
103,302,157,303,156,331,102,330
189,748,225,750,224,772,188,771
434,351,487,350,487,379,435,379
98,123,143,124,142,150,97,148
138,711,174,712,173,734,138,733
162,302,222,304,221,331,161,329
103,420,133,420,132,449,102,448
207,594,241,598,238,618,204,614
166,589,204,591,202,618,164,615
